affiliation,bush_rating,obama_rating,trump_rating,abortion,immigration,lgbtrights,deathpenalty,regulation
republican,84.25663854,45.08901452,58.95668517,2,2,2,5,2
republican,91.12738007,16.58408666,55.94472362,3,3,2,2,2
republican,87.15367219,14.47325606,43.85232644,3,2,2,1,2
republican,95.12291667,2.325854632,45.07247302,3,3,2,5,1
republican,53.25468289,36.68490112,84.18991107,2,1,2,1,1
republican,75.51716944,26.82797189,78.26261336,3,1,1,1,1
republican,83.82565688,32.18384611,72.70176964,2,1,1,1,1
republican,99.67894279,34.10728651,56.70923596,2,2,1,1,2
republican,77.00696283,38.93047794,56.26733509,2,2,2,5,3
republican,88.60574698,33.76987148,61.63911477,2,2,2,1,3
republican,77.13212033,43.1539941,44.77632699,1,1,2,2,3
republican,60.73559584,37.91732165,76.46828376,1,1,1,3,1
republican,51.24557643,21.62215263,72.74128189,2,1,2,5,3
republican,54.02059965,19.83499513,55.80163123,2,2,2,3,3
republican,77.71275107,22.06130762,67.07242924,2,2,2,1,2
republican,89.30418811,16.05820201,54.04008896,3,2,2,5,1
republican,69.79790886,2.081845667,41.16502317,3,3,3,2,3
republican,79.21102882,20.34264625,66.40461588,5,5,5,5,5
democrat,72.96387933,80.01168043,75.63286434,3,2,5,2,3
democrat,36.99116485,80.23907193,21.3982231,5,3,5,5,2
democrat,61.1187442,81.12453849,21.04089221,4,4,5,5,2
democrat,51.42559747,40.33270548,20.81294014,4,2,4,4,4
democrat,44.32320024,74.58069955,21.37627343,2,3,5,5,3
democrat,17.92452059,41.70496024,9.182199278,4,5,2,4,3
democrat,35.82671829,100,18.00662473,4,4,5,5,4
democrat,0,82.0624669,18.7715291,4,4,4,2,4
democrat,50.25591406,100,9.039742095,2,2,5,5,2
democrat,42.45441579,54.09490398,16.3864497,2,4,3,1,4
democrat,61.62223101,87.98852026,3.61952097,3,3,2,5,4
democrat,29.8711355,100,18.87587946,5,1,2,1,2
democrat,58.52062754,99.73023964,12.42038808,5,4,1,2,4
democrat,36.47485116,100,18.69745453,3,3,1,5,4
democrat,50.06596178,76.70927114,10.95527701,2,4,1,5,5
democrat,10.58922847,73.6636515,21.75877931,2,4,2,3,4
democrat,55.61692945,100,20.63761329,2,1,2,1,5
democrat,14.21635661,62.8915592,19.73161833,3,3,1,5,4
democrat,53.57823709,50.58352096,10.2790276,2,4,2,5,4
democrat,46.19653304,57.11082832,8.507971177,4,3,1,5,3
democrat,44.49954718,71.63187226,12.18042516,2,3,2,1,2
democrat,38.10603357,98.21269024,17.51525406,2,5,2,4,5
democrat,57.67192147,31.58349839,14.95931523,4,1,5,3,5
democrat,57.41353663,52.09288158,10.1668923,5,4,4,4,5
democrat,57.77831502,90.30045196,18.00947669,5,3,2,5,2
democrat,57.70113837,0,10.99029101,5,2,3,4,5
democrat,20.91378586,92.76083064,14.56330588,2,5,2,5,4
democrat,61.62864605,100,9.149327123,4,2,4,4,5
independent,50.20834241,33.11494293,17.35630046,3,5,5,4,4
independent,60.23032158,87.27735064,21.16496419,2,3,4,4,5
independent,51.86362071,41.80836036,9.458842706,4,3,3,3,3
independent,28.89357415,37.58456718,16.36308714,4,3,4,5,4
independent,57.14577084,58.63954799,16.52613508,5,2,4,5,3
independent,42.66393004,0,20.37561917,3,4,2,3,4
independent,59.79191594,13.40617246,6.686354595,3,3,4,3,2
independent,40.16820998,100,10.12272409,3,3,4,5,5
independent,49.76385326,84.63482295,24.14686728,2,2,2,3,3
independent,51.78352151,31.35454482,33.65611532,3,3,3,3,4
independent,54.09275816,89.44588236,16.93758229,3,3,4,3,3
independent,39.1638894,10.09147963,26.38005882,3,3,2,5,3
independent,48.62482946,66.94430778,17.44959403,5,3,2,3,3
independent,50.21877997,74.265392,23.50645806,5,5,1,5,4
independent,30.66424721,58.08970585,10.0264553,3,2,1,5,2
independent,63.9649317,14.25821598,39.91022019,2,3,2,2,3
independent,40.73384603,9.305128276,24.19633732,4,2,2,4,3
independent,50.27235212,47.05197062,27.07852514,2,1,2,4,5
independent,52.97269173,57.02619126,35.19841431,4,5,1,4,3
independent,64.51538448,85.83762444,41.51193384,5,5,2,5,2
independent,40.14612415,33.37630461,35.8862329,4,4,1,3,5
independent,64.32807235,57.70201914,18.99466065,4,5,1,4,3
independent,68.17352603,90.02485158,24.03781572,3,4,1,3,3
independent,46.74329168,78.12931858,25.08963543,3,3,2,4,3
independent,46.56978384,0,27.2344631,3,3,2,2,4
independent,43.26198949,98.64462418,21.67420742,5,5,1,2,3
independent,30.21609194,32.32917526,31.16524778,4,4,2,4,4
independent,44.07533263,36.55381882,27.33454911,2,4,2,5,2
independent,63.22655493,5.793147058,22.74640211,4,3,2,3,2
independent,60.19054359,51.55264394,18.19282977,2,4,5,5,5
independent,42.04842543,90.26589702,33.38412898,3,3,3,2,3
independent,44.34093487,55.59856179,32.26959864,4,2,5,2,2
independent,54.37434091,97.26391107,15.55411759,3,4,5,4,2
independent,53.25258393,39.78451831,22.34315106,5,1,5,4,4
independent,48.91082073,10.92032324,42.01446444,2,4,4,5,4
independent,37.96568211,43.50441531,33.81129597,4,4,5,5,3
independent,62.82827224,31.72582322,46.52590393,3,4,2,2,2
independent,40.98877661,32.97231852,23.39309531,4,1,1,2,3
independent,35.56355993,64.20497984,19.98657882,4,4,5,5,4
independent,52.17752351,100,25.2143361,1,2,1,2,5
independent,50.39939455,48.95255782,29.22720011,2,5,3,4,1
independent,27.65820537,55.8238643,18.42296865,3,4,1,4,4
independent,43.79462239,79.13110575,34.147082,4,5,2,5,1
independent,54.67575384,46.67493472,20.04229915,4,1,3,1,2
independent,43.2969325,37.9641025,19.91865597,4,2,3,2,4
independent,66.19904411,48.02167341,13.44538342,5,1,3,3,4
independent,38.49123496,12.70801863,26.81747037,3,2,1,1,2
independent,82.18099113,74.9503622,16.92991099,4,2,5,5,4
independent,32.82416839,61.86605007,32.74896354,5,5,4,3,5
