school,grade_overall,score_overall,score_environment,score_performance,score_progress,score_additionalcredit,sat_testtakerstotal,sat_criticalreadingmean,sat_mathmean,sat_writingmean,sat_totalmean,safety_mean_nonviolent,safety_mean_property,safety_mean_violent,percent_seniorsapm,ap_highscores3to5,grad_percent,collegeenroll_percent
Henry Street School for International Studies,D,40,5,13.3,21.7,0,31,391,425,385,1201,,,,0.09,,0.563,0.519
University Neighborhood High School,C,47.8,5.2,11.4,31.2,0,60,394,419,387,1200,1.09,0.73,0.5,0.137,0.2040816,0.707,0.363
East Side Community School,A,84,13.5,22.6,38.9,9,69,418,431,402,1251,1.82,0.79,0.51,,,0.716,0.692
Marta Valle High School,B,62.6,8.4,12.9,38.3,3,,,,,,,,,0.167,,0.564,0.477
"New Explorations into Science, Technology and Math",B,67.2,8.1,23.7,35.4,0,47,568,583,568,1719,5.58,1.79,1.67,0.913,0.5066313,0.953,0.87
Bard High School Early College,B,60.9,11.4,16.5,33,0,138,630,608,630,1868,1.76,0.83,0.59,0.712,,0.976,0.957
47 The American Sign Language and English Secondary School,A,76.6,11.1,15.6,49.9,0,11,405,415,385,1205,,,,0.04,,0.696,0.471
Food and Finance High School,A,83.9,9.7,21.3,43.9,9,50,422,412,407,1241,,,,0.137,,0.82,0.627
Essex Street Academy,A,84.2,11.8,23,43.4,6,51,382,364,366,1112,,,,,,0.675,0.483
High School of Hospitality Management,A,85.3,10.2,20.7,52.9,1.5,43,397,415,391,1203,,,,0.187,,0.793,0.56
Pace High School,A,90.9,10.2,21.5,47.2,12,71,424,448,423,1295,,,,0.304,,0.915,0.796
"Urban Assembly School of Design and Construction, The",B,66.7,10.8,16.2,38.2,1.5,49,405,446,415,1266,,,,0.15,0.0854701,0.663,0.475
"Facing History School, The",B,64.5,10.6,15.4,34,4.5,59,381,373,377,1131,,,,,,0.553,0.5
"Urban Assembly Academy of Government and Law, The",B,58.3,8.3,15.9,34.1,0,48,411,406,411,1228,,,,0.049,0.4054054,0.678,0.548
Lower Manhattan Arts Academy,A,86.2,10.7,17.7,51.8,6,35,409,381,412,1202,,,,0.074,,0.762,0.478
"Urban Assembly School of Business for Young Women, the",B,62.8,10.1,17.4,35.3,0,52,401,409,391,1201,,,,0.069,,0.803,0.64
Gramercy Arts High School,B,63.7,6.4,17,37.3,3,49,395,376,386,1157,,,,0.032,,0.778,0.404
NYC iSchool,,,,,,,,,,,,,,,,,,
MANHATTAN BUSINESS ACADEMY,,,,,,,,,,,,,,,,,,
BUSINESS OF SPORTS SCHOOL,,,,,,,,,,,,,,,,,,
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,,,,,,,,,,,,,,,,,,
High School for Environmental Studies,B,65.4,8.1,17.1,34.2,6,216,465,480,448,1393,,,,0.347,0.5100671,0.832,0.756
Institute for Collaborative Education,B,62.4,12.6,9.4,40.4,0,42,484,478,472,1434,,,,,,0.833,0.709
Professional Performing Arts High School,A,71.6,9.3,19.6,42.7,0,69,495,465,499,1459,,,,0.313,0.75,0.931,0.608
Baruch College Campus High School,A,74.5,10,20,44.5,0,96,523,583,528,1634,1.09,0.73,0.5,0.705,0.7652174,1,0.981
N.Y.C. Lab School for Collaborative Studies,A,74.9,9.3,25,37.6,3,108,561,597,567,1725,,,,0.565,0.6928571,0.964,0.774
School of the Future High School,A,76.5,10.4,19.4,40.7,6,79,475,488,466,1429,1.82,0.79,0.51,,,0.843,0.656
N.Y.C. Museum School,A,81.8,6.1,20.9,48.8,6,90,454,448,435,1337,,,,0.208,,0.98,0.717
Eleanor Roosevelt High School,A,80.7,11.5,22.3,46.9,0,122,555,596,567,1718,1.76,0.83,0.59,0.811,0.7191489,1,0.969
Millennium High School,A,76.9,11.9,19.2,42.8,3,140,512,554,523,1589,1.76,0.83,0.59,0.647,0.7052631,0.973,0.88
Landmark High School,C,54,8.1,12.4,27.5,6,47,369,370,359,1098,,,,,,0.531,0.559
High School for Health Professions and Human Services,C,49.1,8.3,15.4,25.4,0,250,446,458,440,1344,,,,0.264,0.3024194,0.824,0.695
Leadership and Public Service High School,B,58.1,8.2,11.8,33.6,4.5,74,419,429,406,1254,1.76,0.83,0.59,0.125,0.3809524,0.791,0.385
Legacy School for Integrated Studies,C,51,8,7.5,35.5,0,31,379,356,354,1089,,,,,,,
Manhattan Village Academy,A,96.6,12.9,20,57.7,6,90,465,479,472,1416,1.09,0.73,0.5,,0.4202898,0.978,0.82
Bayard Rustin Educational Complex,,,,,,,136,387,394,379,1160,,,,0.052,,,
Vanguard High School,C,53.7,11.6,11.3,29.3,1.5,54,367,395,373,1135,,,,,,0.663,0.351
Manhattan International High School,A,70.8,13.5,14.5,42.8,0,31,418,463,415,1296,,,,,0.5,0.585,0.391
Washington Irving High School,C,51.6,8.4,7.9,32.3,3,163,381,385,368,1134,,,,0.054,0.2530121,,
Stuyvesant High School,A,72.2,8.9,23.7,39.6,0,804,674,735,678,2087,14.5,6.06,3.56,0.982,0.9393402,0.985,0.854
High School of Economics and Finance,C,57.2,6.4,15.8,33.5,1.5,147,451,503,453,1407,2.49,1.16,0.75,0.299,0.4431818,0.829,0.778
Unity Center for Urban Technologies,A,89.3,12.8,17.9,57.1,1.5,31,371,369,368,1108,,,,0.019,,0.655,0.527
Talent Unlimited High School,A,74,6.4,20.9,43.7,3,124,465,454,461,1380,,,,0.331,0.6176471,0.952,0.75
Murry Bergtraum High School for Business Careers,D,42.8,5.7,12.1,20.5,4.5,287,411,439,396,1246,,,,0.176,0.4840764,0.658,0.426
Jacqueline Kennedy Onassis High School,B,58.5,6.2,19.5,28.3,4.5,88,420,424,398,1242,1.76,0.83,0.59,0.196,0.2457627,0.613,0.428
