college,state,public_private,mathsat,verbalsat,act,applied,accepted,newstudents,newstudents_perc,fulltime_undergrad,tuition,phd_faculty,studentperfaculty,gradrate
Alaska Pacific University,AK,2,490,482,20,193,146,55,16,249,7560,76,11.9,15
Birmingham-Southern College,AL,2,575,525,26,805,588,287,67,1376,11660,74,14,72
Huntingdon College,AL,2,513,446,23,608,520,127,26,538,8080,63,11.4,44
Hendrix College,AR,2,564,525,26,823,721,274,52,954,8800,82,13.1,63
John Brown University,AR,2,509,484,23,605,405,284,24,961,6398,68,13.3,75
Northern Arizona University,AZ,1,495,444,22,5891,4931,1973,23,11249,6746,78,21.7,41
University of Arizona,AZ,1,526,462,23,14079,12238,4529,29,21664,7434,91,19.6,49
California Polytechnic-San Luis,CA,1,547,455,21,7811,3817,1650,47,12911,7380,72,19.8,59
Claremont McKenna College,CA,2,670,600,28,1860,767,227,71,887,17000,99,9.6,87
Pitzer College,CA,2,590,560,26,1133,630,220,37,750,17688,100,10.4,73
Scripps College,CA,2,590,560,26,855,632,139,60,569,17238,95,8.2,73
Fresno Pacific College,CA,2,532,476,22,346,274,146,51,704,9900,59,10.5,54
Pepperdine University,CA,2,585,514,25,3821,2037,680,86,2488,18200,95,11.6,66
Southern California College,CA,2,466,443,21,385,340,193,18,784,9520,63,18.6,43
University of San Francisco,CA,2,514,463,21,2306,1721,538,23,4309,13226,86,13.6,62
University of Southern California,CA,2,592,498,25,12229,8498,2477,45,13259,17230,90,11.4,68
Westmont College,CA,1,550,501,24,950,713,351,42,1276,14320,77,14.9,87
Concordia University,CA,2,485,420,22,688,497,144,30,641,10800,55,13.1,55
Mesa State College,CO,1,451,400,20,1584,1456,891,6,3471,5016,48,28.8,59
University of Southern Colorado,CO,1,480,428,20,1401,1239,605,10,3716,7100,63,19.4,36
Western State College of Colorado,CO,1,470,420,21,2702,1623,604,7,2315,5918,76,19.4,52
Trinity College,DC,2,470,480,22,247,189,100,19,309,11412,89,8.3,96
Bethune Cookman College,FL,2,408,367,16,1646,1150,542,12,2128,5188,48,13.8,58
Embry Riddle Aeronautical University,FL,2,544,461,25,3151,2584,958,14,4772,7800,37,16.5,44
Florida Southern College,FL,2,505,478,23,1381,1040,374,20,1506,8025,65,17.4,68
Rollins College,FL,2,557,502,25,1777,1151,382,31,1668,16425,81,13.3,90
University of Central Florida,FL,1,533,464,23,6986,2959,1918,25,12330,6618,80,22.2,46
Emory University,GA,2,650,570,28,8506,4168,1236,76,5544,17600,97,5,96
Covenant College,GA,2,536,512,24,407,317,181,21,468,9700,73,19,56
Savannah Coll. of Art and Design,GA,2,515,490,23,1109,688,386,20,1897,8325,14,16.1,55
Coe College,IA,2,560,500,25,1006,742,275,29,1127,13925,73,12.7,67
Cornell College,IA,2,560,510,25,1538,1329,383,33,1140,15248,71,12.2,64
Graceland College,IA,2,502,447,22,555,414,242,14,996,9100,51,23.6,47
Grinnell College,IA,2,642,602,29,2039,1389,432,56,1333,15688,88,9.5,83
University of Dubuque,IA,2,480,430,22,576,558,137,11,662,10430,85,16.5,45
