HWGrade,Section,Final
28.725,0,74
29.25,0,83
29.475,0,85
27.45,0,88
23.85,0,87
26.925,0,96
29.475,0,93
20.85,0,85
28.575,0,82
14.625,0,68
27.75,0,91
27,0,90
23.1,0,70
28.2,0,88
22.65,0,63
26.85,0,81
27.6,0,95
28.2,0,92
11.7,0,82
28.05,0,85
23.775,0,82
28.35,0,87
26.85,0,72
29.1,0,88
29.25,0,86
28.35,0,87
29.475,0,96
18.75,1,74
26.85,1,85
9.525,1,65
25.95,1,84
12.45,1,83
25.875,1,70
25.425,1,81
27.225,1,89
28.95,1,85
25.65,1,79
28.95,1,94
29.7,1,97
29.925,1,92
16.875,1,65
14.7,1,84
26.325,1,80
22.275,1,78
27.225,1,84
23.775,1,80
28.875,1,88
3.225,1,0
29.25,1,96
29.325,1,89
23.775,1,66
28.35,1,88
27.975,1,84
22.275,1,83
29.1,1,92
