group,district1vote,district2vote,method,perc_republicans
1,0.549751516,0.174786852,mailers,0.98
1,0.329895615,0.384798003,mailers,0.54
1,0.501313069,0.156053551,mailers,0.46
1,0.568746333,0.340326242,mailers,0.36
1,0.265580346,0.229315363,mailers,0.26
1,0.368287541,0.295818697,mailers,0.9
1,0.549371878,0.401258662,mailers,0.55
1,0.464793015,0.30558098,mailers,0.02
1,0.220248189,0.407102793,mailers,0.33
1,0.255870999,0.370547317,mailers,0.05
1,0.166130702,0.358123632,mailers,0.38
1,0.413763706,0.586565781,mailers,0.28
1,0.30341206,0.361675752,mailers,0.28
1,0.501914168,0.218328938,mailers,0.84
1,0.17067683,0.345605721,mailers,0.27
1,0.427014376,0.29493627,mailers,0.26
1,0.379220783,0.407812613,mailers,0.68
1,0.322442379,0.335996953,mailers,0.84
1,0.45408855,0.479947191,mailers,0.27
1,0.253451869,0.352484438,mailers,0.74
1,0.503520006,0.515487373,mailers,0.39
1,0.364818393,0.335539053,mailers,0.95
1,0.394343124,0.351846009,mailers,0.52
1,0.410038859,0.222551948,mailers,0.33
1,0.322927576,0.38870783,mailers,0.63
1,0.281837236,0.509427011,mailers,0.93
1,0.33862111,0.276753744,mailers,0.78
1,0.094342049,0.504518258,mailers,0.98
1,0.252830109,0.545075151,mailers,0.49
1,0.376715456,0.417093641,mailers,0.73
1,0.224957784,0.338996826,mailers,0.12
1,0.449785267,0.336317543,mailers,0.64
1,0.467964503,0.210509908,mailers,0.42
1,0.511117581,0.386782792,mailers,0.93
1,0.252382174,0.313682899,mailers,0.01
1,0.358022375,0.332297936,mailers,0.36
1,0.218549934,0.351151638,mailers,0.49
1,0.433911075,0.440179176,mailers,0.32
1,0.449246338,0.503188759,mailers,0.31
1,0.444910182,0.463141624,mailers,0.67
1,0.44787799,0.381572992,mailers,0.39
1,0.518221241,0.201643932,mailers,0.23
1,0.299510084,0.375882871,mailers,1
1,0.339000706,0.475881239,mailers,0.53
1,0.368643917,0.433856258,mailers,0.62
1,0.28539841,0.228980028,mailers,0.06
1,0.334968188,0.299827264,mailers,0.03
1,0.333048579,0.287549941,mailers,0.3
1,0.287256415,0.401732918,mailers,0.64
1,0.214074956,0.30774457,mailers,0.52
1,0.233342654,0.414558086,mailers,0.82
1,0.433139041,0.366763786,mailers,0.61
1,0.37691618,0.3691584,mailers,0.57
1,0.383282183,0.286904442,mailers,0.32
1,0.363555713,0.366486766,mailers,0.32
1,0.372725825,0.200826946,mailers,0.05
1,0.555847671,0.183763294,mailers,0.36
1,0.179928642,0.501557618,mailers,0.03
1,0.225643469,0.295188319,mailers,0.5
1,0.166192515,0.21810964,mailers,0.37
1,0.404759592,0.36081515,mailers,0.07
1,0.332073985,0.41449849,mailers,0.45
1,0.191390182,0.265703515,mailers,0.64
1,0.346915822,0.163642735,mailers,0.48
1,0.429309055,0.277577682,mailers,0.76
1,0.335371525,0.478481081,mailers,0.98
1,0.310660346,0.216078639,mailers,0.35
1,0.397598156,0.297389092,mailers,0.59
1,0.332161773,0.334900758,mailers,0.39
1,0.171694184,0.373818797,mailers,0.98
1,0.370672586,0.312963442,mailers,0.57
1,0.328428709,0.337866539,mailers,0.43
1,0.42062951,0.327748014,mailers,0
1,0.267144848,0.199321969,mailers,0.26
1,0.201743903,0.375805407,mailers,0.55
1,0.373661008,0.399082865,mailers,0.06
1,0.388099918,0.363424264,mailers,0.79
1,0.512561867,0.374247515,mailers,0.83
1,0.382097747,0.425970717,mailers,0.05
1,0.322944992,0.326791453,mailers,0.59
1,0.387066996,0.251587779,mailers,0.97
1,0.230818649,0.595076598,mailers,0.4
